time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-09-24 10:00:00,30.2,25.3,75.0,0.1,,138.0,14.8,,1004.9,,17.0
2023-09-24 11:00:00,29.6,25.1,77.0,0.0,,143.0,17.3,,1004.4,,1.0
2023-09-24 12:00:00,30.8,25.6,74.0,0.0,,110.0,9.4,,1005.2,,1.0
2023-09-24 13:00:00,28.7,26.5,88.0,0.0,,163.0,16.2,,1006.0,,3.0
2023-09-24 14:00:00,28.3,26.3,89.0,0.0,,168.0,14.8,,1007.0,,3.0
2023-09-24 15:00:00,29.8,26.4,82.0,0.0,,140.0,5.4,,1007.1,,3.0
2023-09-24 16:00:00,27.4,25.4,89.0,0.0,,189.0,26.6,,1008.7,,3.0
2023-09-24 17:00:00,27.4,25.0,87.0,3.0,,232.0,20.5,,1009.4,,18.0
2023-09-24 18:00:00,25.2,24.3,95.0,7.0,,290.0,15.5,,1009.9,,18.0
2023-09-24 19:00:00,25.1,24.1,94.0,0.2,,252.0,14.4,,1008.6,,7.0
2023-09-24 20:00:00,25.0,24.0,94.0,0.2,,246.0,10.1,,1007.5,,17.0
2023-09-24 21:00:00,24.9,23.7,93.0,0.0,,252.0,11.9,,1007.0,,3.0
2023-09-24 22:00:00,25.0,23.8,93.0,0.2,,264.0,13.7,,1006.5,,7.0
2023-09-24 23:00:00,25.0,23.4,91.0,0.0,,256.0,13.7,,1006.5,,3.0
2023-09-25 00:00:00,25.0,23.4,91.0,0.0,,270.0,7.6,,1007.9,,3.0
2023-09-25 01:00:00,25.3,23.0,87.0,0.0,,261.0,11.9,,1007.3,,2.0
2023-09-25 02:00:00,26.7,23.4,82.0,0.0,,261.0,14.4,,1007.9,,3.0
2023-09-25 03:00:00,29.0,23.2,71.0,0.0,,230.0,7.6,,1008.3,,3.0
2023-09-25 04:00:00,29.9,23.3,68.0,0.0,,273.0,14.8,,1008.5,,3.0
2023-09-25 05:00:00,31.0,23.6,65.0,0.0,,285.0,13.0,,1008.2,,3.0
2023-09-25 06:00:00,32.9,25.2,64.0,0.0,,320.0,11.2,,1007.5,,3.0
2023-09-25 07:00:00,32.5,24.3,62.0,0.0,,330.0,7.9,,1006.6,,3.0
2023-09-25 08:00:00,33.4,24.8,61.0,0.0,,323.0,9.0,,1004.5,,3.0
